experiment_id,name,track,parent_or_init,objective,updates_executed,updates_planned,stop_rule_and_outcome,primary_learning_signal_result,primary_task_result,promoted,protocol_version_of_scores,evidence_id
PT-A,Stage A pretraining (governed),ANCESTOR,random init (seed 20260831),next-token CE on packed 32k uint16 shards,38146,38146,"ran to planner boundary 38146; no LR reset at A/B; logged train rows span 107,384.6 s of elapsed timestamp range (not certified uninterrupted GPU time)",val_loss 2.7486005008441414 / val_ppl 15.620755345740001 at its own final step 38146 (recorded by the Stage A run),NA (no instruction evaluation at this stage),NA,EVID-PT-RUN,EVID-PT-RUN
PT-B,Stage B continued pretraining (governed),ANCESTOR,exact full-state resume of PT-A step 38146,next-token CE on the disjoint Stage B release,11444,11444,ran to global stop 49590 under one absolute WSD timeline,val_loss 2.4702483468921344 / val_ppl 11.825383284191247 at step 49590; first Stage-B readout at step 38147 was 2.742657180890175,dev100 strict 0/100 with 100/100 length-cap stops,accepted as Base,EVID-PT-RUN,EVID-PT-RUN
SFT-P2,P2 concise-instruction SFT,ANCESTOR,init_from_pretrain Base step_049590.pt,CE on every assistant turn content plus EOS (token_mean),750,750,ran to fixed 750; quality acceptance NOT demonstrated,val500 token NLL 1.322110 over 43573 targets,dev100 strict 0/100; P3 dev512 4/512,no,EVID-P2-RUN,EVID-P2-RUN
P3-BASIC,P3 basic-instruction generalization,ANCESTOR,P2 step_000750.pt (fresh AdamW),final-assistant-turn CE on procedural+replay mixture,640,640,ran to fixed 640,val500 NLL: P2 1.322110; P3 step 320 1.400923; P3 step 640 1.439334,dev512 484/512 at step 320; 476/512 at step 640; ARC-Easy and PIQA both fell,no,EVID-P3-RUN,EVID-P3-RUN
INTERP-2PT,Two-point P2/P3 weight interpolation,ANCESTOR,P2 step750 and P3 step320,none (parameter blend; 0 optimizer updates),0,0,fixed alphas 0.50 and 0.75 only,alpha075 val500 NLL 1.365311,alpha075 dev512 487/512; alpha050 445/512,alpha075 became the working reference,EVID-INTERP-RUN,EVID-INTERP-RUN
P4-MICRO,P4 micro-calibration on 231 natural rows,RESEARCH,alpha075 line (exact init checkpoint not stated in the bound records),final-turn CE,70,70,completed,train-row NLL 1.417886 -> 0.916021 on its own 231 rows,dev512 488/512; practical27 [17/54..53/162]; QA41 3/41 unk=2,no,EVID-SNAPSHOT-SCORECARD,EVID-SNAPSHOT-SCORECARD
P4-QA,P4 controlled QA increment (393 rows),RESEARCH,alpha075 line (exact init checkpoint not stated in the bound records),final-turn CE,70,70,completed,train-row NLL 1.987214 -> 1.462658 on its own 393 rows,"practical27 [19/54..59/162] and QA41 5/41 unk=2 under the research-snapshot scorecard label version; the best practical27 bounds recorded IN THAT SNAPSHOT, not a cross-version maximum",no,EVID-SNAPSHOT-SCORECARD,EVID-SNAPSHOT-SCORECARD
DOSE6,Natural curriculum dose 6,RESEARCH,alpha075 line (exact init checkpoint not stated in the bound records),final-turn CE; 6 exposures per curriculum row,468,468,completed,train-row NLL 2.151085 -> 0.026700 on its own 1045 rows,dev512 fell to 443/512; practical27 [25/162..1/6]; QA41 2/41 unk=1,no,EVID-SNAPSHOT-SCORECARD,EVID-SNAPSHOT-SCORECARD
R1,R1 one-pass behaviour mix,RESEARCH,"alpha075 weights only, fresh optimizer (stated in the R1 run record)",final-turn CE,96,192,stopped at predeclared midpoint by the practical-retention screen (upper 35/162 < 22/81),planned-TRAIN-row NLL 1.561466 -> 1.078894 on its own 3071 rows,dev512 490/512; QA41 6/41 unk=1; natural64 4/64 unk=1; python32 1/32,no,EVID-SNAPSHOT-SCORECARD,EVID-SNAPSHOT-SCORECARD
DP0,DP0 preference-data construction,RESEARCH,"alpha075 greedy generations; data construction only, no checkpoint produced",data construction only (no updates),0,0,completed,198 pairs: 177 reused source references + 21 executor-written minimal corrections,34 positive-only / 4 format-only / 14 ties,no,EVID-DISTILL-STATUS,EVID-DISTILL-STATUS
DP1,DP1 standard DPO pilot,RESEARCH,alpha075 (policy and frozen reference),DPO beta=0.1 on completion log-prob sums,20,40,stopped at predeclared midpoint; practical27 upper 37/162 < 22/81 (gap 7/162),TRAIN160 mean loss 0.693147 -> 0.215138; heldout29 0.362027; all 189 margins positive,dev512 487/512; natural64 2/64; TRAIN-pair uptake joint 3/32; DPO-heldout joint 2/29; positive-only retention 24/34,rejected for promotion,EVID-DP1-REPORT,EVID-DP1-REPORT
KD1,KD1 chosen-answer CE control,RESEARCH,alpha075 (fresh AdamW),supervised CE on the DP0 chosen sides only,20,20,fixed control endpoint; historical retention gate failed (practical upper 19/81 < 22/81),train chosen NLL 1.385687 -> 1.147131; heldout 1.403504 -> 1.303023,dev512 487/512; natural64 2/64; python32 whole-answer 1/32; positive-only joint 27/34,no,EVID-KD1-REPORT,EVID-KD1-REPORT
KD2,KD2 shared-tokenizer soft-logit KD lab,RESEARCH,SmolLM2-135M-Instruct (external model; no PetitGPT checkpoint was opened),arm A: CE; arm B: CE + 0.5*tau^2*KL(teacher_tau2 || student_tau2),20 per arm,20 per arm,both arms ran to fixed endpoints,CE lowered chosen NLL more; KD lowered tau=2 KL on both splits,HOLDOUT29 joint 3/29 -> CE 2/29 / KD 2/29; ADDITIONAL34 22/34 -> 22/34 / 21/34,no,EVID-KD2-REPORT,EVID-KD2-REPORT
RKD1,RKD1 dense response distillation one-pass,RESEARCH,alpha075 (fresh AdamW),final-answer CE on teacher-authored responses,77,154,stopped at predeclared midpoint; practical27 upper 13/54 < 22/81 (gap -5/162),TRAIN NLL 2.010386 -> 1.838430; HOLDOUT 1.825066 -> 1.715917,HOLDOUT96 25/96 -> 20/96 (4 gains / 9 losses); dev512 unchanged 487/512 hiding 13 gains and 13 losses,no,EVID-RKD1-REPORT,EVID-RKD1-REPORT
RKD2,RKD2 LoRA response-KD curve,RESEARCH,alpha075 base frozen + rank-16 LoRA (4331520 trainable),final-answer CE through adapters only,154,308,permanent stop under the double-negative gate after one full pass,TRAIN NLL 2.010386 -> 1.736833; HOLDOUT 1.825066 -> 1.684378,dev512 487 -> 489/512; HOLDOUT96 25/96 -> 18/96; practical27 fell to 1/6,no,EVID-RKD2-REPORT,EVID-RKD2-REPORT
UBASE-SFT,Unified Base SFT curve (3 passes),RESEARCH,accepted pretrained Base (NOT alpha075),final-turn CE on a unified MAIN+P3 curriculum,1209,1209,completed 3 passes; terminal engineering screen NOT passed,MAIN NLL 2.332277 -> 0.785709; HOLDOUT NLL 2.163378 -> 1.725114 (minimum at step 403),HOLDOUT 9/92 -> 21/92; practical27 0 -> 5/18; dev512 0 -> 412/512; matched natural64 6/64 -> 3/64,no,EVID-UBASE-REPORT,EVID-UBASE-REPORT
